idx1,idx2,id_1,authors_1,title_1,venue_name_1,venue_vol_1,venue_date_1,blocking_key_1,id_2,authors_2,title_2,venue_name_2,venue_vol_2,venue_date_2,blocking_key_2
285,275,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2.,1990.0,T2F41990
285,276,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade correlaion learning architecture.,NIPS.,,1990.0,T2F41990
285,277,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation architecture.,In Advances in Neural Information Processing Systems,Vol. 2.,1990.0,T2F41990
285,278,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation architecture.,In Advances in Neural Information Processing Systems,Vol. 2.,1990.0,T2F41990
285,279,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade correlation architecture.,Advances in 43 Neural Information Processing Systems,2,1990.0,T2F41990
285,280,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade correlation architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
285,281,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,Vol. 2).,1990.0,T2F41990
285,282,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,Vol. 2).,1990.0,T2F41990
285,283,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,2.,1990.0,T2F41990
285,284,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
286,194,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architec ture,",,,1990.0,T2F41990
286,195,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architecture,",,,1990.0,T2F41990
286,196,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,197,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,198,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,199,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,200,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,204,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,205,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,207,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman s. e.; lebiere c.,"the cascade-correlation learning architecture,",,,1990.0,T2F41990
286,208,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,212,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,214,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,215,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,216,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,217,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,218,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,225,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,227,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,231,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,232,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,233,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,236,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,241,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
286,259,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems (volume 2).,,1990.0,T2F41990
286,263,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architecture,","""Advances in Neural Information Processing Systems""",Vol. 2,1990.0,T2F41990
286,264,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architecture,",`Advances in Neural Information Processing Systems',Vol. 2,1990.0,T2F41990
286,265,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architecture,","""Advances in Neural Information Processing Systems""",Vol. 2,1990.0,T2F41990
286,266,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade correlation architecture.,In Advances in Neural Information Processing Systems,Volume 2,1990.0,T2F41990
286,267,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade correlation architecture.,In Advances in Neural Information Processing Systems,Volume 2,1990.0,T2F41990
286,269,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,vol. 2,1990.0,T2F41990
286,270,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade correlation learning architecture.,In Neural Information Processing Systems,2.,1990.0,T2F41990
286,271,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade correlation learning architecture.,In Neural Information Processing Systems,2.,1990.0,T2F41990
286,272,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation architecture.,Advances in Neural Information Processing Structures,2,1990.0,T2F41990
286,273,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation architecture.,Advances in Neural Information Processing Structures,2,1990.0,T2F41990
286,274,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning algorithm.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
286,275,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2.,1990.0,T2F41990
286,276,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade correlaion learning architecture.,NIPS.,,1990.0,T2F41990
286,277,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation architecture.,In Advances in Neural Information Processing Systems,Vol. 2.,1990.0,T2F41990
286,278,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation architecture.,In Advances in Neural Information Processing Systems,Vol. 2.,1990.0,T2F41990
286,279,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade correlation architecture.,Advances in 43 Neural Information Processing Systems,2,1990.0,T2F41990
286,280,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade correlation architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
286,281,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,Vol. 2).,1990.0,T2F41990
286,282,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,Vol. 2).,1990.0,T2F41990
286,283,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,2.,1990.0,T2F41990
286,284,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
286,285,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
287,194,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architec ture,",,,1990.0,T2F41990
287,195,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architecture,",,,1990.0,T2F41990
287,196,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,197,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,198,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,199,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,200,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,204,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,205,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,207,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman s. e.; lebiere c.,"the cascade-correlation learning architecture,",,,1990.0,T2F41990
287,208,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,212,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,214,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,215,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,216,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,217,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,218,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,225,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,227,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,231,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,232,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,233,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,236,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,241,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
287,259,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems (volume 2).,,1990.0,T2F41990
287,263,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architecture,","""Advances in Neural Information Processing Systems""",Vol. 2,1990.0,T2F41990
287,264,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architecture,",`Advances in Neural Information Processing Systems',Vol. 2,1990.0,T2F41990
287,265,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architecture,","""Advances in Neural Information Processing Systems""",Vol. 2,1990.0,T2F41990
287,266,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade correlation architecture.,In Advances in Neural Information Processing Systems,Volume 2,1990.0,T2F41990
287,267,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade correlation architecture.,In Advances in Neural Information Processing Systems,Volume 2,1990.0,T2F41990
287,269,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,vol. 2,1990.0,T2F41990
287,270,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade correlation learning architecture.,In Neural Information Processing Systems,2.,1990.0,T2F41990
287,271,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade correlation learning architecture.,In Neural Information Processing Systems,2.,1990.0,T2F41990
287,272,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation architecture.,Advances in Neural Information Processing Structures,2,1990.0,T2F41990
287,273,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation architecture.,Advances in Neural Information Processing Structures,2,1990.0,T2F41990
287,274,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning algorithm.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
287,275,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2.,1990.0,T2F41990
287,276,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade correlaion learning architecture.,NIPS.,,1990.0,T2F41990
287,277,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation architecture.,In Advances in Neural Information Processing Systems,Vol. 2.,1990.0,T2F41990
287,278,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation architecture.,In Advances in Neural Information Processing Systems,Vol. 2.,1990.0,T2F41990
287,279,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade correlation architecture.,Advances in 43 Neural Information Processing Systems,2,1990.0,T2F41990
287,280,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade correlation architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
287,281,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,Vol. 2).,1990.0,T2F41990
287,282,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,Vol. 2).,1990.0,T2F41990
287,283,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,In Advances in Neural Information Processing Systems,2.,1990.0,T2F41990
287,284,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
287,285,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
287,286,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990
288,194,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architec ture,",,,1990.0,T2F41990
288,195,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architecture,",,,1990.0,T2F41990
288,196,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
288,197,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
288,198,fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,Advances in Neural Information Processing Systems,2,1990.0,T2F41990,fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990.0,T2F41990
